Ranking,Player,Country,Goals,Apps,Ratio,Years,Clubs
"1
","Cristiano Ronaldo
"," Portugal
","121
","159
","0.76
","2003–
","Manchester United, Real Madrid, Juventus
"
"2
","Lionel Messi
"," Argentina
","105
","127
","0.83
","2005–
","Barcelona
"
"3
","Raúl
"," Spain
","71
","144
","0.49
","1995–2011
","Real Madrid, Schalke 04
"
"4
","Ruud van Nistelrooy
"," Netherlands
","60
","81
","0.74
","1998–2009
","PSV Eindhoven, Manchester United, Real Madrid
"
"5
","Andriy Shevchenko
"," Ukraine
","59
","116
","0.51
","1994–2012
","Dynamo Kyiv, Milan, Chelsea
"
"6
","Karim Benzema
"," France
","59
","107
","0.53
","2006–
","Lyon, Real Madrid
"
"7
","Thierry Henry
"," France
","51
","115
","0.44
","1997–2010
","Monaco, Arsenal, Barcelona
"
"8
","Filippo Inzaghi
"," Italy
","50
","85
","0.59
","1997–2010
","Juventus, Milan
"
"9
","Alfredo Di Stéfano
"," Argentina
","49
","58
","0.84
","1955–1964
","Real Madrid
"
