Ranking,Name,Clubs,Matches,Trophies
1, Alex Ferguson,"Aberdeen FC (8), Manchester United (201)",209,"2
"
2, Arsène Wenger,"AS Monaco (17), Arsenal FC (184)",201,"0
"
3, Carlo Ancelotti,"Parme (8), Juventus (10), AC Milan (77), Chelsea FC (18), Paris SG (10), Real Madrid (25), Bayern Munich (12), SSC Naples (4)",164,"3
"
4, José Mourinho,"FC Porto (17), Chelsea FC (57), Inter Milan (21), Real Madrid (32), Manchester United (12)",139,"2
"
5, Mircea Lucescu,"Rapid Bucarest (2), Inter Milan (3), Galatasaray SK (32), Beşiktaş JK (6), Chakhtar Donetsk (88)",131,"0
"
6, Rafael Benítez,"Valence CF (14), Liverpool FC (76), Inter Milan (6), Chelsea FC (1), SSC Naples (8), Real Madrid (6)",111,"1
"
-, Pep Guardiola,"FC Barcelone (51), Bayern Munich (36), Manchester City (24)",111,"2
"
8, Ottmar Hitzfeld,"Grasshopper Zurich (2), Borussia Dortmund (19), Bayern Munich (80)",101,"2
"
-, Louis van Gaal,"Ajax Amsterdam (32), FC Barcelone (40), Bayern Munich (21), Manchester United (8)",101,"1
"
10, Giovanni Trapattoni,"Juventus (38), Inter Milan (2), Bayern Munich (18), AC Fiorentina (14), Benfica Lisbonne (2), Red Bull Salzbourg (8)",82,"1
"
