YEAR,CATEGORIES 2,RANK_A,NAME_A,TEAM_A,P_A,A
2014/15,Assists,1,Andrés Iniesta,Barcelona  ,11,5
2014/15,Assists,2,Lionel Messi,Barcelona  ,13,4
2014/15,Assists, ,Dani Alves,Barcelona  ,11,4
2014/15,Assists, ,Héctor Herrera,FC Porto,9,4
2014/15,Assists, ,Koke  ,Atletico Madrid,9,4
2014/15,Assists,6,Toni Kroos,Real Madrid,12,3
2014/15,Assists, ,Cristiano Ronaldo,Real Madrid,12,3
2014/15,Assists, ,Luis Suárez,Barcelona  ,10,3
2014/15,Assists, ,Thomas Müller,Bayern Munich,10,3
2014/15,Assists, ,Juanfran  ,Atletico Madrid,10,3
2014/15,Assists, ,Pedro  ,Barcelona  ,9,3
2014/15,Assists, ,Cesc Fàbregas, Chelsea,8,3
2014/15,Assists, ,Pajtim Kasami, Olympiakos,6,3
2014/15,Assists, ,Bastian Schweinsteiger,Bayern Munich,6,3
2014/15,Assists, ,Lukasz Piszczek,Borussia Dortmund,5,3
2014/15,Assists,16,Juan Bernat,Bayern Munich,12,2
2014/15,Assists, ,Robert Lewandowski,Bayern Munich,12,2
2014/15,Assists, ,Jérôme Boateng,Bayern Munich,11,2
2014/15,Assists, ,Marcelo  ,Real Madrid,11,2
2014/15,Assists, ,Paul Pogba,Juventus  ,10,2
2014/15,Assists, ,Gregory van der Wiel, Paris Saint-Germain,10
2014/15,Assists, ,Arda Turan,Atletico Madrid,10,2
2014/15,Assists, ,Yacine Brahimi,FC Porto,9,2
2014/15,Assists, ,James Rodríguez,Real Madrid,9,2
2014/15,Assists, ,Taison  ,Shakhtar Donetsk,8,2
2014/15,Assists, ,Hakan Calhanoglu,Bayer Leverkusen,8,2
2014/15,Assists, ,Karim Bellarabi,Bayer Leverkusen,8,2
2014/15,Assists, ,Pierre-Emerick Aubameyang,Borussia Dortmund,8,2
2014/15,Assists, ,Fabian Frei,FC Basel,8,2
2014/15,Assists, ,Ezequiel Lavezzi,Paris Saint-Germain,8,2
2014/15,Assists, ,Luca Zuffi,FC Basel,7,2
2014/15,Assists, ,Alex Oxlade-Chamberlain,Arsenal  ,7,2
2014/15,Assists, ,Cristian Tello,Barcelona  ,7,2
2014/15,Assists, ,Eden Hazard, Chelsea,7,2
2014/15,Assists, ,Santi Cazorla,Arsenal  ,7,2
2014/15,Assists, ,John Terry, Chelsea,7,2
2014/15,Assists, ,Dennis Praet, Anderlecht,6,2
2014/15,Assists, ,Rafinha  ,Barcelona  ,6,2
2014/15,Assists, ,Juan Iturbe,AS Roma,6,2
2014/15,Assists, ,Radja Nainggolan,AS Roma,6,2
2014/15,Assists, ,Bibras Natcho,CSKA Moscow,6,2
2014/15,Assists, ,Vyacheslav Shevchuk,Shakhtar Donetsk,6,2
2014/15,Assists, ,Thiago Motta,Paris Saint-Germain,6,2
2014/15,Assists, ,Bernard  ,Shakhtar Donetsk,5,2
2014/15,Assists, ,Shinji Kagawa,Borussia Dortmund,5,2
2014/15,Assists, ,Beñat  ,Athletic Bilbao,5,2
2014/15,Assists, ,Nani  ,Sporting CP,5,2
2014/15,Assists, ,Ricardo Kishna,Ajax Amsterdam,4,2
2014/15,Assists, ,Kevin Grosskreutz,Borussia Dortmund,4,2
2014/15,Assists, ,Jefferson  ,Sporting CP,3,2
