YEAR,RANK,TEAM,GP,W,D,L,GF,GA,GD,POINTS
2016-17,1,Arsenal  ,6,4,2,0,18,6,+12,14
2016-17,2,Paris Saint-Germain,6,3,3,0,13,7,+6,12
2016-17,3,Ludogorets Razgrad,6,0,3,3,6,15,-9,3
2016-17,4,FC Basel,6,0,2,4,3,12,-9,2
2016-17,1,Napoli  ,6,3,2,1,11,8,+3,11
2016-17,2,Benfica  ,6,2,2,2,10,10,0,8
2016-17,3,Besiktas  ,6,1,4,1,9,14,-5,7
2016-17,4,Dynamo Kiev,6,1,2,3,8,6,+2,5
2016-17,1,Barcelona  ,6,5,0,1,20,4,+16,15
2016-17,2,Manchester City,6,2,3,1,12,10,+2,9
2016-17,3,Borussia Monchengladbach,6,1,2,3,5,12,-7,5
2016-17,4,Celtic  ,6,0,3,3,5,16,-11,3
2016-17,1,Atletico Madrid,6,5,0,1,7,2,+5,15
2016-17,2,Bayern Munich,6,4,0,2,14,6,+8,12
2016-17,3,Rostov  ,6,1,2,3,6,12,-6,5
2016-17,4,PSV Eindhoven,6,0,2,4,4,11,-7,2
2016-17,1,AS Monaco,6,3,2,1,9,7,+2,11
2016-17,2,Bayer Leverkusen,6,2,4,0,8,4,+4,10
2016-17,3,Tottenham Hotspur,6,2,1,3,6,6,0,7
2016-17,4,CSKA Moscow,6,0,3,3,5,11,-6,3
2016-17,1,Borussia Dortmund,6,4,2,0,21,9,+12,14
2016-17,2,Real Madrid,6,3,3,0,16,10,+6,12
2016-17,3,Legia Warsaw,6,1,1,4,9,24,-15,4
2016-17,4,Sporting CP,6,1,0,5,5,8,-3,3
2016-17,1,Leicester City,6,4,1,1,7,6,+1,13
2016-17,2,FC Porto,6,3,2,1,9,3,+6,11
2016-17,3,FC Copenhagen,6,2,3,1,7,2,+5,9
2016-17,4,Club Brugge,6,0,0,6,2,14,-12,0
2016-17,1,Juventus  ,6,4,2,0,11,2,+9,14
2016-17,2,Sevilla FC,6,3,2,1,7,3,+4,11
2016-17,3,Lyon  ,6,2,2,2,5,3,+2,8
2016-17,4,Dinamo Zagreb,6,0,0,6,0,15,-15,0
