YEAR,VIEW,RANK_S,TEAM_DS,GOALS,SHOTS,"DISCIPLINE(Y,R/10)",POSSESSION,PASS%,AW,RATING
2015/16,OVERALL,1,Real Madrid,27,21.2,240,54.6,88.2,12.1,7.22
2015/16,OVERALL,2,Barcelona  ,22,16.8,230,64.8,87.7,10.4,7.17
2015/16,OVERALL,3,Bayern Munich,30,21.7,201,66.6,89.6,13.8,7.13
2015/16,OVERALL,4,Paris Saint-Germain,18,13.8,220,60.7,89.3,13.5,7.13
2015/16,OVERALL,5,Atletico Madrid,17,15,211,48.0,79.8,18.2,7.12
2015/16,OVERALL,6,Chelsea  ,15,13.8,150,48.8,81.4,13.4,7.09
2015/16,OVERALL,7,FC Porto,9,15.2,130,53.9,83.0,13.7,6.98
2015/16,OVERALL,8,Arsenal  ,13,13.1,151,46.5,82.5,13.4,6.94
2015/16,OVERALL,9,Bayer Leverkusen,13,16.3,121,52.3,76.8,20.3,6.93
2015/16,OVERALL,10,Juventus  ,10,16,141,43.6,81.8,15.5,6.92
2015/16,OVERALL,11,Manchester City,18,13,150,48.5,82.6,13,6.92
2015/16,OVERALL,12,PSV Eindhoven,8,9,182,47.3,78.6,15.8,6.91
2015/16,OVERALL,13,Zenit St.,Petersburg,14,10.4,232,44.3,77.3,16
2015/16,OVERALL,14,Wolfsburg  ,15,12.7,180,48.3,81.6,12.8,6.90
2015/16,OVERALL,15,Benfica  ,15,13.4,281,49.6,80.0,14,6.90
2015/16,OVERALL,16,Sevilla  ,8,13.7,70,51.4,84.2,16.3,6.78
2015/16,OVERALL,17,Lyon  ,5,17.7,131,54.2,83.2,14.7,6.76
2015/16,OVERALL,18,Dynamo Kyiv,9,11.9,180,50.4,81.0,13.8,6.76
2015/16,OVERALL,19,Manchester United,7,14.2,110,58.9,84.1,15.7,6.75
2015/16,OVERALL,20,Borussia M.Gladbach,8,14.7,110,48.8,81.0,11.2,6.74
2015/16,OVERALL,21,Gent  ,10,10.5,182,52.2,80.7,12.3,6.74
2015/16,OVERALL,22,Galatasaray  ,6,14.5,130,48.7,80.7,13.7,6.70
2015/16,OVERALL,23,Roma  ,11,14.3,100,44.5,78.3,15.6,6.69
2015/16,OVERALL,24,CSKA Moscow,6,8.8,100,41.2,75.3,10.3,6.69
2015/16,OVERALL,25,Valencia  ,5,12.3,181,51.0,81.5,12.5,6.68
2015/16,OVERALL,26,FC Astana,5,12.7,120,42.2,74.4,16,6.65
2015/16,OVERALL,27,BATE Borisov,5,6.3,180,37.9,66.6,12.8,6.61
2015/16,OVERALL,28,Olympiacos  ,6,11.8,120,41.8,75.8,15,6.60
2015/16,OVERALL,29,Shakhtar Donetsk,7,14.3,151,51.2,86.9,7.8,6.55
2015/16,OVERALL,30,Dinamo Zagreb,3,9.8,131,42.1,77.2,11,6.44
2015/16,OVERALL,31,Maccabi Tel,Aviv,1,8.5,141,43.6,80.3,8.5
2015/16,OVERALL,32,Malmoe FF,1,7.3,102,35.2,73.3,8.3,6.22
