YEAR,ROUND,RANK,TEAM,MP,W,D,L,GF,GA,GD,Last 5,CS,BTTS,FTS,Over 1.5+,Over 2.5+,AVG
2013/14,8th Finals,1,Real Madrid  ,2,2,0,0,9,2,+7,WW,38%,54%,8%,92%,77%,3.92
2013/14,8th Finals,2,Paris Saint-Germain ,2,2,0,0,6,1,+5,WW,30%,60%,10%,100%,80%,3.4
2013/14,8th Finals,3,Atlético Madrid,2,2,0,0,5,1,+4,WW,46%,54%,8%,77%,54%,2.77
2013/14,8th Finals,4,FC Barcelona    ,2,2,0,0,4,1,+3,WW,30%,60%,10%,80%,50%,2.9
2013/14,8th Finals,5,Bayern München  ,2,1,1,0,3,1,+2,WD,33%,50%,17%,83%,58%,3.08
2013/14,8th Finals,6,Chelsea    ,2,1,1,0,3,1,+2,DW,58%,33%,17%,75%,50%,2.42
2013/14,8th Finals,7,Borussia Dortmund,2,1,0,1,5,4,+1,WL,20%,60%,20%,90%,80%,3.1
2013/14,8th Finals,8,Manchester United  ,2,1,0,1,3,2,+1,LW,50%,40%,20%,70%,40%,2.6
2013/14,8th Finals,9,Zenit St. Petersburg,2,1,0,1,4,5,-1,LW,33%,67%,8%,75%,58%,3.33
2013/14,8th Finals,10,Olympiakos   ,2,1,0,1,2,3,-1,WL,38%,50%,13%,88%,63%,2.88
2013/14,8th Finals,11,Arsenal    ,2,0,1,1,1,3,-2,LD,50%,30%,20%,90%,30%,2.2
2013/14,8th Finals,12,Galatasaray      ,2,0,1,1,1,3,-2,DL,13%,63%,25%,75%,50%,3.25
2013/14,8th Finals,13,Manchester City  ,2,0,0,2,1,4,-3,LL,13%,75%,13%,100%,88%,4.13
2013/14,8th Finals,14,AC Milan    ,2,0,0,2,1,5,-4,LL,40%,50%,20%,80%,40%,2.4
2013/14,8th Finals,15,Bayer Leverkusen  ,2,0,0,2,1,6,-5,LL,38%,38%,38%,75%,75%,3.25
2013/14,8th Finals,16,Schalke 04  ,2,0,0,2,2,9,-7,LL,40%,40%,30%,80%,60%,3.0
2013/14,Quarter Finals,1,Bayern München  ,2,1,1,0,4,2,+2,DW,33%,50%,17%,83%,58%,3.08
2013/14,Quarter Finals,2,Atlético Madrid,2,1,1,0,2,1,+1,DW,46%,54%,8%,77%,54%,2.77
2013/14,Quarter Finals,3,Real Madrid  ,2,1,0,1,3,2,+1,WL,38%,54%,8%,92%,77%,3.92
2013/14,Quarter Finals,4,Chelsea   ,2,1,0,1,3,3,+0,LW,58%,33%,17%,75%,50%,2.42
2013/14,Quarter Finals,5,Paris Saint-Germain,2,1,0,1,3,3,+0,WL,30%,60%,10%,100%,80%,3.4
2013/14,Quarter Finals,6,Borussia Dortmund,2,1,0,1,2,3,-1,LW,20%,60%,20%,90%,80%,3.1
2013/14,Quarter Finals,7,FC Barcelona    ,2,0,1,1,1,2,-1,DL,30%,60%,10%,80%,50%,2.9
2013/14,Quarter Finals,8,Manchester United,2,0,1,1,2,4,-2,DL,50%,40%,20%,70%,40%,2.6
2013/14,Semi Finals,1,Real Madrid,2,2,0,0,5,0,+5,WW,38%,54%,8%,92%,77%,3.92
2013/14,Semi Finals,2,Atlético Madrid,2,1,1,0,3,1,+2,DW,46%,54%,8%,77%,54%,2.77
2013/14,Semi Finals,3,Chelsea    ,2,0,1,1,1,3,-2,DL,58%,33%,17%,75%,50%,2.42
2013/14,Semi Finals,4,Bayern München  ,2,0,0,2,0,5,-5,LL,33%,50%,17%,83%,58%,3.08
2013/14,Finals,1,Real Madrid  ,1,1,0,0,4,1,+3,W,38%,54%,8%,92%,77%,3.92
2013/14,Finals,2,Atlético Madrid,1,0,0,1,1,4,-3,L,46%,54%,8%,77%,54%,2.77
