Edition number,Years,Winner,Score,Runner-Up,Final location,Affluences
"1
","1956
"," Real Madrid
","4 – 3
"," Stade de Reims
"," Parc des Princes (Paris)
","38 239
"
"2
","1957
"," Real Madrid (2)
","2 – 0
"," AC Fiorentina
"," Stade Santiago-Bernabéu (Madrid)
","124 000
"
"3
","1958
"," Real Madrid (3)
","3 – 2 ap
"," AC Milan
"," Stade du Heysel (Bruxelles)
","67 000
"
"4
","1959
"," Real Madrid (4)
","2 – 0
"," Stade de Reims
"," Neckarstadion (Stuttgart)
","80 000
"
"5
","1960
"," Real Madrid (5)
","7 – 3
"," Eintracht Francfort
"," Hampden Park (Glasgow)
","127 621
"
"6
","1961
"," Benfica Lisbonne
","3 – 2
"," FC Barcelone
"," Stade du Wankdorf (Berne)
","26 732
"
"7
","1962
"," Benfica Lisbonne (2)
","5 – 3
"," Real Madrid
"," Stade olympique (Amsterdam)
","61 257
"
"8
","1963
"," AC Milan
","2 – 1
"," Benfica Lisbonne
"," Stade de Wembley (Londres)
","45 715
"
"9
","1964
"," Inter Milan
","3 – 1
"," Real Madrid
"," Stade Prater (Vienne)
","71 333
"
"10
","1965
"," Inter Milan (2)
","1 – 0
"," Benfica Lisbonne
"," Stade San Siro (Milan)
","89 000
"
"11
","1966
"," Real Madrid (6)
","2 – 1
"," Partizan Belgrade
"," Stade du Heysel (Bruxelles)
","46 745
"
"12
","1967
"," Celtic Glasgow
","2 – 1
"," Inter Milan
"," Stade national (Lisbonne)
","45 000
"
"13
","1968
"," Manchester United
","4 – 1 ap
"," Benfica Lisbonne
"," Stade de Wembley (Londres)
","92 225
"
"14
","1969
"," AC Milan (2)
","4 – 1
"," Ajax Amsterdam
"," Stade Santiago-Bernabéu (Madrid)
","31 782
"
"15
","1970
"," Feyenoord Rotterdam
","2 – 1 ap
"," Celtic Glasgow
"," Stade San Siro (Milan)
","53 187
"
"16
","1971
"," Ajax Amsterdam
","2 – 0
"," Panathinaïkos
"," Stade de Wembley (Londres)
","83 179
"
"17
","1972
"," Ajax Amsterdam (2)
","2 – 0
"," Inter Milan
"," Stade de Feyenoord (Rotterdam)
","61 354
"
"18
","1973
"," Ajax Amsterdam (3)
","1 – 0
"," Juventus
"," Stade de l'Étoile rouge (Belgrade)
","89 484
"
"19
","1974
"," Bayern Munich
","1 – 1 ap4 – 0 [25]
"," Atlético Madrid
"," Stade du Heysel (Bruxelles)
","48 72223 325
"
"20
","1975
"," Bayern Munich (2)
","2 – 0
"," Leeds United
"," Parc des Princes (Paris)
","48 374
"
"21
","1976
"," Bayern Munich (3)
","1 – 0
"," AS Saint-Étienne
"," Hampden Park (Glasgow)
","54 864
"
"22
","1977
"," Liverpool FC
","3 – 1
"," Borussia Mönchengladbach
"," Stade olympique (Rome)
","52 078
"
"23
","1978
"," Liverpool FC (2)
","1 – 0
"," Club Bruges KV
"," Stade de Wembley (Londres)
","92 500
"
"24
","1979
"," Nottingham Forest
","1 – 0
"," Malmö FF
"," Stade olympique (Munich)
","57 500
"
"25
","1980
"," Nottingham Forest (2)
","1 – 0
"," Hambourg SV
"," Stade Santiago-Bernabéu (Madrid)
","51 000
"
"26
","1981
"," Liverpool FC (3)
","1 – 0
"," Real Madrid
"," Parc des Princes (Paris)
","48 360
"
"27
","1982
"," Aston Villa
","1 – 0
"," Bayern Munich
"," Stade de Feyenoord (Rotterdam)
","46 000
"
"28
","1983
"," Hambourg SV
","1 – 0
"," Juventus
"," Stade olympique (Athènes)
","73 500
"
"29
","1984
"," Liverpool FC (4)
","1 – 1 (4 - 2 tab)
"," AS Rome
"," Stade olympique (Rome)
","69 693
"
"30
","1985
"," Juventus
","1 – 0
"," Liverpool FC
"," Stade du Heysel (Bruxelles)
","58 000
"
"31
","1986
"," Steaua Bucarest
","0 – 0 (2 - 0 tab)
"," FC Barcelone
"," Stade Sánchez-Pizjuán (Séville)
","70 000
"
"32
","1987
"," FC Porto
","2 – 1
"," Bayern Munich
"," Stade Prater (Vienne)
","57 500
"
"33
","1988
"," PSV Eindhoven
","0 – 0 (6 - 5 tab)
"," Benfica Lisbonne
"," Neckarstadion (Stuttgart)
","68 000
"
"34
","1989
"," AC Milan (3)
","4 – 0
"," Steaua Bucarest
"," Camp Nou (Barcelone)
","97 000
"
"35
","1990
"," AC Milan (4)
","1 – 0
"," Benfica Lisbonne
"," Stade Prater (Vienne)
","57 500
"
"36
","1991
"," Étoile rouge de Belgrade
","0 – 0 (5 - 3 tab)
"," Olympique de Marseille
"," Stade San Nicola (Bari)
","56 000
"
"37
","1992
"," FC Barcelone
","1 – 0 ap
"," UC Sampdoria
"," Stade de Wembley (Londres)
","70 827
"
"38
","1993
"," Olympique de Marseille
","1 – 0
"," AC Milan
"," Stade olympique (Munich)
","64 400
"
"39
","1994
"," AC Milan (5)
","4 – 0
"," FC Barcelone
"," Stade olympique (Athènes)
","70 000
"
"40
","1995
"," Ajax Amsterdam (4)
","1 – 0
"," AC Milan
"," Stade Ernst-Happel (Vienne)
","49 730
"
"41
","1996
"," Juventus (2)
","1 – 1 (4 - 2 tab)
"," Ajax Amsterdam
"," Stade olympique (Rome)
","70 000
"
"42
","1997
"," Borussia Dortmund
","3 – 1
"," Juventus
"," Stade olympique (Munich)
","59 000
"
"43
","1998
"," Real Madrid (7)
","1 – 0
"," Juventus
"," Amsterdam ArenA (Amsterdam)
","48 500
"
"44
","1999
"," Manchester United (2)
","2 – 1
"," Bayern Munich
"," Camp Nou (Barcelone)
","90 245
"
"45
","2000
"," Real Madrid (8)
","3 – 0
"," Valence CF
"," Stade de France (Saint-Denis)
","80 000
"
"46
","2001
"," Bayern Munich (4)
","1 – 1 (5 - 4 tab)
"," Valence CF
"," Stade Giuseppe-Meazza (Milan)
","79 000
"
"47
","2002
"," Real Madrid (9)
","2 – 1
"," Bayer Leverkusen
"," Hampden Park (Glasgow)
","50 499
"
"48
","2003
"," AC Milan (6)
","0 – 0 (3 - 2 tab)
"," Juventus
"," Old Trafford (Manchester)
","62 315
"
"49
","2004
"," FC Porto (2)
","3 – 0
"," AS Monaco
"," Arena AufSchalke (Gelsenkirchen)
","53 053
"
"50
","2005
"," Liverpool FC (5)
","3 – 3 (3 - 2 tab)
"," AC Milan
"," Stade olympique Atatürk (Istanbul)
","69 600
"
"51
","2006
"," FC Barcelone (2)
","2 – 1
"," Arsenal FC
"," Stade de France (Saint-Denis)
","79 610
"
"52
","2007
"," AC Milan (7)
","2 – 1
"," Liverpool FC
"," Stade olympique (Athènes)
","63 000
"
"53
","2008
"," Manchester United (3)
","1 – 1 (6 - 5 tab)
"," Chelsea FC
"," Stade Loujniki (Moscou)
","67 310
"
"54
","2009
"," FC Barcelone (3)
","2 – 0
"," Manchester United
"," Stade olympique (Rome)
","62 467
"
"55
","2010
"," Inter Milan (3)
","2 – 0
"," Bayern Munich
"," Stade Santiago Bernabéu (Madrid)
","73 490
"
"56
","2011
"," FC Barcelone (4)
","3 – 1
"," Manchester United
"," Wembley Stadium (Londres)
","87 695
"
"57
","2012
"," Chelsea FC
","1 – 1 (4 - 3 tab)
"," Bayern Munich
"," Fußball Arena München[26] (Munich)
","62 500
"
"58
","2013
"," Bayern Munich (5)
","2 – 1
"," Borussia Dortmund
"," Wembley Stadium (Londres)
","86 298
"
"59
","2014
"," Real Madrid (10)
","4 – 1 ap
"," Atlético Madrid
"," Stade de Luz (Lisbonne)
","60 976
"
"60
","2015
"," FC Barcelone (5)
","3 – 1
"," Juventus
"," Stade olympique (Berlin)
","70 442
"
"61
","2016
"," Real Madrid (11)
","1 – 1 (5 - 3 tab)
"," Atlético Madrid
"," Stade Giuseppe-Meazza (Milan)
","71 942
"
"62
","2017
"," Real Madrid (12)
","4 – 1
"," Juventus
"," Millennium Stadium[26] (Cardiff)
","65 842
"
"63
","2018
"," Real Madrid (13)
","3 – 1
"," Liverpool FC
"," Stade olympique (Kiev)
","61 561
"
"64
","2019
","
"," – 
","
"," Stade Metropolitano[26] (Madrid)[27]
","
"
"65
","2020
","
"," – 
","
"," Stade olympique Atatürk (Istanbul)[28]
","
"
